country,year,mean,se
MAA,1985,-11.096817809887261,3.2831869037577315
MAA,1986,-11.548975590226712,3.451309540719531
MAA,1987,-11.529260598953242,3.5937113161726555
MAA,1988,-11.596223922035927,4.051596264705213
MAA,1989,-11.790825707191367,4.1355077157691165
MAA,1990,-11.554364309623905,4.367979027771101
MAA,1991,-11.389170827482083,4.393130436510546
MAA,1992,-11.098047087271834,4.030608582227399
MAA,1993,-10.934050182570349,3.968826797415532
MAA,1994,-10.481299627788847,3.5778194258716933
MAA,1995,-10.333093821715858,3.183271336021657
MAA,1996,-10.162268964588815,2.8962888981033617
MAA,1997,-9.898897675802159,2.8166993487631506
MAA,1998,-9.736164830983173,2.359582818132076
MAA,1999,-9.624935108710066,2.2955527903447246
MAA,2000,-9.103163648537265,2.4698917214435725
MAA,2001,-8.736921248161883,2.6078340043017807
MAA,2002,-8.110883652145207,2.52843331772161
MAA,2003,-7.335733337180138,2.642875551264119
MAA,2004,-6.380574125480506,2.6643631395770897
MAA,2005,-5.073181293683714,1.9265328583441432
MAA,2006,-3.0886618303569593,1.4265043369990422
MAA,2007,-0.4364814998789357,0.8137726891870743
MAA,2008,-2.694860900108482,1.0563282871259623
MAA,2009,-4.27448216462931,1.5905227500728212
MAA,2010,-4.783809866572912,1.7176682419957052
MAA,2011,-5.363515699304714,2.177972971882628
MAA,2012,-5.4781640925684405,2.596397884195815
MAA,2013,-5.591605468259148,2.7661010191357533
MAC,1945,7.728144692717396,4.180796125326375
MAC,1946,8.477303528275199,3.7184743556243136
MAC,1947,8.61148161354189,3.989252453451977
MAC,1948,8.968913079929345,3.8040436495174688
MAC,1949,9.271519508315503,3.852752753784319
MAC,1950,9.741449720542386,3.362816142016478
MAC,1951,10.136874645097397,3.1250232051817286
MAC,1952,10.789694841755086,3.3950002804053225
MAC,1953,11.168833021630308,3.4596575123574986
MAC,1954,11.21247138266008,3.6853641606969227
MAC,1955,11.573293375609662,3.981266065936389
MAC,1956,11.963125291795636,4.368261443718959
MAC,1957,12.337396405444874,4.647718240142963
MAC,1958,12.211264400610476,4.812378979022379
MAC,1959,12.644471521891571,5.081409045008026
MAC,1960,12.883721065517674,5.5804503504962195
MAC,1961,13.141935318356134,5.317386523831748
MAC,1962,13.700807586120805,5.908916935693546
MAC,1963,13.855515805229256,5.654022533900831
MAC,1964,14.271103719238809,5.41493743586556
MAC,1965,14.981767738841356,5.734346569583914
MAC,1966,15.4467009896551,5.253455198269231
MAC,1967,16.016462003786863,5.2033392015487525
MAC,1968,16.446465665578128,4.825667363616884
MAC,1969,17.176100328922516,4.598253455695238
MAC,1970,17.747445718567352,4.481176609143815
MAC,1971,17.912306621488852,4.370248369172331
MAC,1972,18.57046458187542,4.392691067226943
MAC,1973,18.57134833287687,4.291284022159319
MAC,1974,18.922119672090734,4.2247181586265175
MAC,1975,19.137298663122703,4.319545383305933
MAC,1976,19.338960350138553,4.232101707640334
MAC,1977,19.510193441951277,3.936615006575166
MAC,1978,19.872943530996043,4.2155725613647315
MAC,1979,20.107492001828383,4.055528378217736
MAC,1980,20.37269935747029,4.077389262721987
MAC,1981,20.62159382897401,3.8067122301231078
MAC,1982,20.594640134578114,3.8945629429111106
